RecID,SiteID,StoreCode,Region,Quantity,GTIN_VPN,Brand,Style,Diameter,Width,BoltPattern1,BoltPattern2,Lugs,LugRadial,Offset,Finish,DTArticle,diamBP,diamBPOffs,wheelsize,offbin
1,1001,WDAZ01,DIRECT,4,7.61138E+11,American Racing,OUTLAW II MACHINED W/CC,14,7,4x114.30,NA,4,114.3,0,MACHINED W/ CLEAR COAT,78201,14 4x114.30,14 4x114.30 0,14 x 7,"(-9,0)"
2,1001,WDAZ01,DIRECT,2,7.61138E+11,American Racing,OUTLAW II MACHINED W/CC,15,7,5x114.30,NA,5,114.3,-6,MACHINED W/ CLEAR COAT,78203,15 5x114.30,15 5x114.30 -6,15 x 7,"(-9,0)"
3,1001,WDAZ01,DIRECT,4,7.61139E+11,American Racing,AR105 ANTHR MACH-LP,17,8,5x120.65,NA,5,120.65,0,ANTHRACITE W/ MACHINED LIP,78897,17 5x120.65,17 5x120.65 0,17 x 8,"(-9,0)"
4,1001,WDAZ01,DIRECT,6,7.61138E+11,American Racing,BAJA POLISHED,15,7,5x120.65,NA,5,120.65,-6,POLISHED,78729,15 5x120.65,15 5x120.65 -6,15 x 7,"(-9,0)"
5,1001,WDAZ01,DIRECT,4,7.61138E+11,American Racing,BAJA POLISHED,15,7,6x139.70,NA,6,139.7,-6,POLISHED,78617,15 6x139.70,15 6x139.70 -6,15 x 7,"(-9,0)"
6,1001,WDAZ01,DIRECT,2,7.61138E+11,American Racing,BAJA POLISHED,15,7,5x139.70,NA,5,139.7,-6,POLISHED,78618,15 5x139.70,15 5x139.70 -6,15 x 7,"(-9,0)"
7,1001,WDAZ01,DIRECT,4,7.61138E+11,American Racing,BAJA POLISHED,15,8,5x120.65,NA,5,120.65,-19,POLISHED,78737,15 5x120.65,15 5x120.65 -19,15 x 8,"(-19,-10)"
8,1001,WDAZ01,DIRECT,4,7.61138E+11,American Racing,BAJA POLISHED,15,8,5x114.30,NA,5,114.3,-19,POLISHED,78192,15 5x114.30,15 5x114.30 -19,15 x 8,"(-19,-10)"
9,1001,WDAZ01,DIRECT,4,7.61138E+11,American Racing,BAJA POLISHED,15,8,6x139.70,NA,6,139.7,-19,POLISHED,78183,15 6x139.70,15 6x139.70 -19,15 x 8,"(-19,-10)"
10,1001,WDAZ01,DIRECT,8,7.61138E+11,American Racing,BAJA POLISHED,15,8,5x139.70,NA,5,139.7,-19,POLISHED,78184,15 5x139.70,15 5x139.70 -19,15 x 8,"(-19,-10)"
11,1001,WDAZ01,DIRECT,4,8.85463E+11,American Racing,MAINLINE CHROME,17,8,6x135.00,NA,6,135,25,CHROME,NA,17 6x135.00,17 6x135.00 25,17 x 8,"(20,29)"
12,1001,WDAZ01,DIRECT,5,8.85463E+11,American Racing,AR923 S-BLK,17,8,5x127.00,NA,5,127,0,SATIN BLACK,NA,17 5x127.00,17 5x127.00 0,17 x 8,"(-9,0)"
13,1001,WDAZ01,DIRECT,5,8.85463E+11,ATX,AX194 M-GRY BLK-RING,17,8.5,5x127.00,NA,5,127,10,MATTE GRAY W/ BLACK RING,20008,17 5x127.00,17 5x127.00 10,17 x 8.5,"(1,10)"
14,1001,WDAZ01,DIRECT,4,8.85463E+11,ATX,AX195 T-BLK,18,9,8x165.10,NA,8,165.1,-12,TEXTURED BLACK,NA,18 8x165.10,18 8x165.10 -12,18 x 9,"(-19,-10)"
15,1001,WDAZ01,DIRECT,4,8.85463E+11,Helo,HE891,22,9,blank,NA,0,0,35,BLK,NA,22 blank,22 blank 35,22 x 9,"(30,39)"
16,1001,WDAZ01,DIRECT,5,8.85463E+11,KMC,KM695 S-BLK TINTED,20,8.5,blank,NA,0,0,35,BLK,NA,20 blank,20 blank 35,20 x 8.5,"(30,39)"
17,1001,WDAZ01,DIRECT,4,8.43962E+11,Motegi,MR107 G-BLK MACH,17,7.5,5x114.30,NA,5,114.3,45,GLOSS BLACK MACHINED,20170,17 5x114.30,17 5x114.30 45,17 x 7.5,"(40,49)"
18,1001,WDAZ01,DIRECT,4,8.43962E+11,Moto Metal,MO951 CHROME,20,9,6x135.00,NA,6,135,18,CHROME,20085,20 6x135.00,20 6x135.00 18,20 x 9,"(11,19)"
19,1001,WDAZ01,DIRECT,4,8.43962E+11,Moto Metal,MO951 CHROME,20,9,6x139.70,NA,6,139.7,18,CHROME,20087,20 6x139.70,20 6x139.70 18,20 x 9,"(11,19)"
20,1001,WDAZ01,DIRECT,1,8.43962E+11,Moto Metal,MO951 GLOSS BLACK MACHINED,20,9,6x139.70,NA,6,139.7,18,GLOSS BLACK MACHINED,20088,20 6x139.70,20 6x139.70 18,20 x 9,"(11,19)"
21,1001,WDAZ01,DIRECT,7,8.43962E+11,Moto Metal,MO955 CHROME,17,9,5x127.00,NA,5,127,-12,CHROME,NA,17 5x127.00,17 5x127.00 -12,17 x 9,"(-19,-10)"
22,1001,WDAZ01,DIRECT,6,8.85463E+11,Moto Metal,MO970 G-BLK MACH,17,8,6x120.00,6x139.70,6,120,0,GLOSS BLACK W/ MACHINED FACE,NA,17 6x120.00,17 6x120.00 0,17 x 8,"(-9,0)"
23,1001,WDAZ01,DIRECT,4,8.85463E+11,Moto Metal,MO970 G-BLK MACH,18,9,5x139.70,5x150.00,5,139.7,18,GLOSS BLACK W/ MACHINED FACE,20164,18 5x139.70,18 5x139.70 18,18 x 9,"(11,19)"
24,1001,WDAZ01,DIRECT,4,8.85463E+11,Moto Metal,MO970 G-GRY BLK LP,17,8,8x165.10,NA,8,165.1,0,GLOSS GREY CENTER W/ GLOSS BLACK LIP,NA,17 8x165.10,17 8x165.10 0,17 x 8,"(-9,0)"
25,1001,WDAZ01,DIRECT,1,8.06455E+11,MSA Wheels,F2 FORGED FLAT BLACK,14,7,4x137.00,NA,4,137,0,SATIN BLACK,46803,14 4x137.00,14 4x137.00 0,14 x 7,"(-9,0)"
26,1001,WDAZ01,DIRECT,2,8.06455E+11,MSA Wheels,F2 FORGED FLAT BLACK,14,7,4x156.00,NA,4,156,0,SATIN BLACK,46804,14 4x156.00,14 4x156.00 0,14 x 7,"(-9,0)"
27,1001,WDAZ01,DIRECT,44,8.06455E+11,MSA Wheels,MA012 G-BLK,15,7,4x156.00,NA,4,156,10,GLOSS BLACK,46827,15 4x156.00,15 4x156.00 10,15 x 7,"(1,10)"
28,1001,WDAZ01,DIRECT,14,8.06455E+11,MSA Wheels,M12 DIESEL MACHINED GLOSS BLACK,14,7,4x156.00,NA,4,156,10,GLOSS BLACK,46824,14 4x156.00,14 4x156.00 10,14 x 7,"(1,10)"
29,1001,WDAZ01,DIRECT,4,8.06455E+11,MSA Wheels,MA020 S-BLK,14,7,4x115.00,NA,4,115,0,MATTE BLACK,46829,14 4x115.00,14 4x115.00 0,14 x 7,"(-9,0)"
30,1001,WDAZ01,DIRECT,8,8.06455E+11,MSA Wheels,MA020 S-BLK,14,7,4x137.00,NA,4,137,0,MATTE BLACK,46830,14 4x137.00,14 4x137.00 0,14 x 7,"(-9,0)"
31,1001,WDAZ01,DIRECT,2,8.06455E+11,MSA Wheels,MA020 S-BLK,14,7,4x156.00,NA,4,156,0,MATTE BLACK,46831,14 4x156.00,14 4x156.00 0,14 x 7,"(-9,0)"
32,1001,WDAZ01,DIRECT,1,8.06455E+11,MSA Wheels,MA023 FL-BLK,12,7,4x110.00,NA,4,110,15,MATTE BLACK,46847,12 4x110.00,12 4x110.00 15,12 x 7,"(11,19)"
33,1001,WDAZ01,DIRECT,4,8.06455E+11,MSA Wheels,MA023 FL-BLK,18,7,4x156.00,NA,4,156,10,MATTE BLACK,46860,18 4x156.00,18 4x156.00 10,18 x 7,"(1,10)"
